,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.14203203,0.15680704,0.0,0.112489015,0.13880542,0.10574595,0.10147299,0.08090511,0.06942837,0.07047564,0.05485782,0.023953177,0.04555978,0.057629608,0.11919335,0.073346294,-6.893122,10.464218,14.682086,-10.0989485,13.085152,12.234623,13.753702,-8.228179,-8.921098,10.071431,-11.371101,15.599695,11.4010725,9.880873,-11.1148405,17.794285
1,0.02843688,0.14393614,0.0,0.019264843,0.108316466,0.07808569,0.069786385,0.18565191,0.0,0.06838476,0.13928999,0.13538851,0.01031036,0.08835957,0.20358835,0.06110444,-0.31837612,0.8682449,1.4206917,-0.3240949,1.279822,0.93869257,0.7168292,0.16217506,-0.36996078,-0.02006216,-0.149449,1.0281628,0.10477959,0.7012548,-0.28333026,2.273444
2,0.057141177,0.10566762,0.07092532,0.04838699,0.17435615,0.12726107,0.16232756,0.07760523,0.0,0.081377916,0.01972128,0.063124776,0.025503818,0.11352255,0.06574407,0.19749102,-1.2698712,2.4082057,3.5507445,-1.7969563,3.1368368,2.458799,3.0243344,-1.3073335,-1.7093061,1.8605813,-1.9441195,2.8117003,2.0390708,1.7643226,-1.9108992,4.4681716
3,0.10343104,0.18611956,0.0,0.17443633,0.13071862,0.15145116,0.0011928119,0.24987945,0.09899002,0.018058827,0.05939769,0.0,0.040399194,0.03612329,0.0,0.20522234,-0.97154707,1.883766,2.9503007,-1.4085145,2.5892117,2.172036,2.4685721,-0.9855198,-1.340566,1.344778,-1.4804277,2.3974226,1.5948714,1.6077167,-1.4585917,3.6120415
4,0.008879637,0.15965906,0.18844007,0.05873587,0.11398109,0.0017368048,0.1742135,0.0007562749,0.0917474,0.0,0.0046394467,0.08462761,0.12838434,0.0,0.08004511,0.25636536,-0.21480966,0.7157079,1.1492038,-0.20478038,1.1469245,0.7986773,0.41795465,0.90163875,-0.22070833,-0.05490157,0.109708674,0.71979964,-0.04322146,0.71849006,-0.16572735,2.151991
5,0.052900143,0.15790296,0.031160234,0.055216223,0.00073222816,0.07445018,0.0267561,0.023648713,0.052936554,0.07624059,0.2196832,0.07921977,0.11294317,0.01192295,0.18874247,0.14951633,-0.77274245,1.6915638,2.4209185,-1.1005955,2.2420003,1.7100185,1.9302949,-0.7065127,-1.0705293,1.0587301,-1.1009924,1.8850099,1.1732388,1.2098825,-1.124231,3.3511112
6,0.034155697,0.15116596,0.0,0.00071001425,0.10995358,0.11087344,0.10049288,0.0006446261,0.08236875,0.10378239,0.05894886,0.017777901,0.025105188,0.038865544,0.08596563,0.086169615,-3.467796,5.744892,8.08799,-5.1274967,7.0924587,6.383511,7.34155,-4.086176,-4.610245,5.233103,-5.7259974,8.082768,5.7101474,5.126358,-5.6137,9.9049
7,0.06930478,0.11299317,0.05488784,0.049169473,0.113411084,0.12810948,0.06205435,0.055607013,0.089352876,0.08041612,0.046764128,0.07383716,0.0,0.085730165,0.14556389,0.124867365,-14.6818285,22.102694,30.282162,-21.485365,26.69895,25.774277,28.786762,-17.60997,-18.835028,21.466349,-24.234026,32.478733,23.837,20.582125,-23.892706,36.89166
8,0.10671072,0.09909413,0.0,0.054823935,0.11139892,0.07044663,0.05575148,0.0876418,0.11655712,0.04874767,0.084254615,0.06435111,0.06530116,0.094304554,0.13148153,0.09124949,-17.36514,26.486763,36.359642,-25.51785,31.998978,30.62613,34.391865,-20.880678,-22.398897,25.531025,-28.766748,38.93236,28.411266,24.570238,-28.35203,44.268295
9,0.15631841,0.19390178,0.0,0.0035833288,0.034755133,0.08202479,0.025065614,0.064145565,0.059480436,0.099431835,0.049387403,0.0697125,0.10854594,0.094235376,0.10476711,0.14838026,-0.23995142,0.6094917,1.3405919,-0.17577614,1.0827175,0.75794524,0.5020473,0.8753164,-0.21856748,-0.082115814,0.23075067,0.72063416,-0.033913966,0.69319165,-0.1378121,2.0256782
10,0.17257701,0.1337106,0.0,0.10571511,0.056725457,0.066571444,0.07899594,0.052228317,0.044474382,0.12905928,0.11986764,0.0075531173,0.0034970809,0.1159811,0.1483096,0.058228478,-0.16303252,0.7533754,0.9337443,0.35135877,0.78559726,0.8251821,0.34285188,2.206251,-0.0028331676,-0.17243592,1.5400006,0.7637152,-0.0717679,0.6892134,0.495143,1.4480939
